ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location
12583362,JF101254,"01-01-2022 23:00","0000X W HUBBARD ST",810,THEFT,"OVER $500","BAR OR TAVERN",FALSE,FALSE,1831,18,42,8,6,1176050,1903312,2022,"11-12-2022 15:46",41.89005157,-87.62891376,"(41.890051565, -87.62891376)"
12582972,JF101402,"01-02-2022 00:00","004XX E 18TH DR",810,THEFT,"OVER $500","PARKING LOT / GARAGE (NON RESIDENTIAL)",FALSE,FALSE,132,1,4,33,6,1179869,1891739,2022,"11-12-2022 15:46",41.85820776,-87.61524443,"(41.858207756, -87.615244425)"
12595428,JF116603,"01-02-2022 00:00","0000X W JACKSON BLVD",810,THEFT,"OVER $500","HOTEL / MOTEL",FALSE,FALSE,113,1,4,32,6,1175754,1898974,2022,"11-12-2022 15:46",41.87815451,-87.63013134,"(41.87815451, -87.630131336)"
12582759,JF101095,"01-02-2022 00:30","054XX S MICHIGAN AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,225,2,3,40,6,1178084,1868904,2022,"11-12-2022 15:46",41.79558748,-87.62248993,"(41.79558748, -87.622489932)"
12584207,JF102987,"01-02-2022 02:13","005XX S DAMEN AVE",810,THEFT,"OVER $500","CONSTRUCTION SITE",FALSE,FALSE,1225,12,28,28,6,1163142,1897621,2022,"11-12-2022 15:46",41.87471598,-87.67647753,"(41.874715981, -87.676477533)"
12583534,JF102021,"01-02-2022 03:00","060XX N FRANCISCO AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,2413,24,50,2,6,1155922,1939939,2022,"11-12-2022 15:46",41.99098826,-87.70184193,"(41.990988256, -87.701841928)"
12583330,JF100991,"01-02-2022 04:19","018XX W CHICAGO AVE",810,THEFT,"OVER $500","VEHICLE NON-COMMERCIAL",FALSE,FALSE,1221,12,1,24,6,1164062,1905377,2022,"11-12-2022 15:46",41.8959797,-87.67288053,"(41.895979702, -87.672880528)"
12586145,JF104813,"01-02-2022 08:00","114XX S CHAMPLAIN AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,531,5,9,50,6,1182622,1829208,2022,"11-12-2022 15:46",41.68655306,-87.60707758,"(41.686553064, -87.607077575)"
12586140,JF104721,"01-02-2022 08:55","033XX W DIVERSEY AVE",810,THEFT,"OVER $500","RESIDENCE - PORCH / HALLWAY",FALSE,FALSE,1412,14,35,22,6,1153480,1918417,2022,"11-12-2022 15:46",41.93197956,-87.71139883,"(41.931979558, -87.711398834)"
12589712,JF109559,"01-02-2022 09:29","040XX W LEXINGTON ST",810,THEFT,"OVER $500",RESIDENCE,FALSE,FALSE,1132,11,24,26,6,1149556,1896472,2022,"11-12-2022 15:46",41.87183747,-87.72638964,"(41.871837467, -87.726389638)"
12582799,JF101133,"01-02-2022 09:30","019XX N AUSTIN AVE",810,THEFT,"OVER $500","PARKING LOT / GARAGE (NON RESIDENTIAL)",FALSE,FALSE,2513,25,29,25,6,1136098,1912178,2022,"11-12-2022 15:46",41.91518726,-87.77542523,"(41.915187259, -87.775425225)"
12582763,JF101120,"01-02-2022 09:57","048XX S DREXEL BLVD",810,THEFT,"OVER $500",APARTMENT,FALSE,TRUE,222,2,4,39,6,1183133,1873130,2022,"10-11-2022 16:45",41.80706791,-87.60384375,"(41.807067906, -87.603843747)"
12582755,JF101144,"01-02-2022 10:15","002XX S STATE ST",810,THEFT,"OVER $500","CTA TRAIN",FALSE,FALSE,113,1,42,32,6,1176411,1899396,2022,"11-12-2022 15:46",41.87929771,-87.62770627,"(41.879297705, -87.627706271)"
12582743,JF101130,"01-02-2022 10:15","052XX N SHERIDAN RD",810,THEFT,"OVER $500","GROCERY FOOD STORE",FALSE,FALSE,2023,20,48,77,6,1168697,1934885,2022,"11-12-2022 15:46",41.97685185,-87.65499969,"(41.976851852, -87.654999693)"
12583966,JF101426,"01-02-2022 11:00","026XX W POTOMAC AVE",810,THEFT,"OVER $500",RESIDENCE,FALSE,FALSE,1423,14,26,24,6,1158501,1908544,2022,"11-12-2022 15:46",41.90478587,-87.69321814,"(41.904785869, -87.693218143)"
12585123,JF103889,"01-02-2022 11:00","072XX S PAULINA ST",810,THEFT,"OVER $500",RESIDENCE,FALSE,FALSE,735,7,17,67,6,1166263,1856757,2022,"11-12-2022 15:46",41.76251462,-87.66618349,"(41.762514616, -87.666183493)"
12583228,JF101637,"01-02-2022 11:00","006XX N WELLS ST",810,THEFT,"OVER $500","HOTEL / MOTEL",FALSE,FALSE,1832,18,42,8,6,1174629,1904304,2022,"10-11-2022 16:45",41.89280556,-87.63410257,"(41.892805561, -87.63410257)"
12583911,JF101817,"01-02-2022 12:10","005XX W ROOSEVELT RD",810,THEFT,"OVER $500",RESTAURANT,FALSE,FALSE,124,1,25,28,6,1172744,1894970,2022,"11-12-2022 15:46",41.8672344,-87.64130179,"(41.867234401, -87.641301791)"
12582889,JF101256,"01-02-2022 12:45","012XX S SAWYER AVE",810,THEFT,"OVER $500",APARTMENT,FALSE,FALSE,1022,10,24,29,6,1154891,1894243,2022,"11-12-2022 15:46",41.86561567,-87.70686229,"(41.865615666, -87.706862288)"
12584311,JF103121,"01-02-2022 13:00","083XX S KEDZIE AVE",810,THEFT,"OVER $500",RESTAURANT,FALSE,FALSE,834,8,18,70,6,1156493,1849305,2022,"11-12-2022 15:46",41.74226749,-87.70219262,"(41.742267488, -87.702192623)"
12582938,JF101298,"01-02-2022 14:00","004XX E 18TH DR",810,THEFT,"OVER $500","PARKING LOT / GARAGE (NON RESIDENTIAL)",FALSE,FALSE,132,1,4,33,6,1179869,1891739,2022,"11-12-2022 15:46",41.85820776,-87.61524443,"(41.858207756, -87.615244425)"
12583175,JF101470,"01-02-2022 14:05","057XX S COLUMBIA DR",810,THEFT,"OVER $500","PARKING LOT / GARAGE (NON RESIDENTIAL)",FALSE,FALSE,331,3,5,41,6,1189559,1867364,2022,"11-12-2022 15:46",41.79109353,-87.58046076,"(41.791093526, -87.580460763)"
12583345,JF101757,"01-02-2022 14:30","029XX S WESTERN AVE",810,THEFT,"OVER $500","PARKING LOT / GARAGE (NON RESIDENTIAL)",FALSE,FALSE,1034,10,25,31,6,1160857,1884692,2022,"11-12-2022 15:46",41.83928518,-87.68522539,"(41.83928518, -87.685225392)"
12586973,JF101358,"01-02-2022 15:09","008XX N AVERS AVE",810,THEFT,"OVER $500",APARTMENT,FALSE,TRUE,1112,11,37,23,6,1150569,1905368,2022,"11-12-2022 15:46",41.89622933,-87.72243797,"(41.896229333, -87.722437972)"
12582998,JF101505,"01-02-2022 15:30","004XX N STATE ST",810,THEFT,"OVER $500","RESIDENCE - GARAGE",FALSE,FALSE,1834,18,42,8,6,1176302,1903096,2022,"11-12-2022 15:46",41.88945317,-87.62799483,"(41.889453169, -87.627994833)"
12583066,JF101525,"01-02-2022 15:30","012XX W LE MOYNE ST",810,THEFT,"OVER $500",STREET,FALSE,FALSE,1433,14,27,24,6,1167513,1910172,2022,"11-12-2022 15:46",41.9090639,-87.66006756,"(41.909063898, -87.660067562)"
12585406,JF103811,"01-02-2022 15:30","028XX S KEELEY ST",810,THEFT,"OVER $500",STREET,FALSE,FALSE,913,9,11,60,6,1169231,1885622,2022,"11-12-2022 15:46",41.84165968,-87.65446976,"(41.841659682, -87.654469757)"
12608986,JF101614,"01-02-2022 16:00","043XX S PRAIRIE AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,215,2,3,38,6,1178761,1876397,2022,"11-12-2022 15:46",41.81613355,-87.61977925,"(41.816133545, -87.619779248)"
12583020,JF101396,"01-02-2022 16:09","015XX W MARQUETTE RD",810,THEFT,"OVER $500",RESIDENCE,FALSE,TRUE,725,7,16,67,6,1167371,1860303,2022,"10-11-2022 16:45",41.77222165,-87.66202106,"(41.772221652, -87.662021064)"
12582964,JF101436,"01-02-2022 16:45","057XX S LAKE SHORE DR",810,THEFT,"OVER $500",STREET,FALSE,FALSE,331,3,5,41,6,1189729,1867390,2022,"10-11-2022 16:45",41.79116079,-87.57983659,"(41.791160785, -87.579836586)"
12583125,JF101491,"01-02-2022 17:15","0000X E MADISON ST",810,THEFT,"OVER $500",RESTAURANT,FALSE,FALSE,112,1,42,32,6,1176955,1900419,2022,"11-12-2022 15:46",41.88209258,-87.62567784,"(41.882092584, -87.625677844)"
12583205,JF101516,"01-02-2022 17:57","052XX S HARPER AVE",810,THEFT,"OVER $500","HOTEL / MOTEL",FALSE,FALSE,234,2,4,41,6,1187174,1870653,2022,"11-12-2022 15:46",41.80017577,-87.58910149,"(41.800175766, -87.589101486)"
12594941,JF115597,"01-02-2022 19:00","034XX N ELAINE PL",810,THEFT,"OVER $500",STREET,FALSE,FALSE,1925,19,44,6,6,1170777,1923173,2022,"11-12-2022 15:46",41.94466832,-87.64769531,"(41.944668319, -87.647695308)"
12583431,JF101799,"01-02-2022 19:00","027XX E 79TH ST",810,THEFT,"OVER $500",STREET,FALSE,FALSE,422,4,7,46,6,1196125,1853124,2022,"11-12-2022 15:46",41.75185773,-87.55685661,"(41.751857729, -87.556856606)"
12583482,JF102051,"01-02-2022 19:00","0000X E GRAND AVE",810,THEFT,"OVER $500","HOTEL / MOTEL",FALSE,FALSE,1834,18,42,8,6,1176416,1903908,2022,"10-11-2022 16:45",41.89167877,-87.62755165,"(41.891678767, -87.627551654)"
12583295,JF101744,"01-02-2022 19:30","059XX S KILPATRICK AVE",810,THEFT,"OVER $500","CTA BUS",FALSE,FALSE,813,8,13,56,6,1146158,1864971,2022,"11-12-2022 15:46",41.78545948,-87.73966442,"(41.785459483, -87.739664422)"
12583255,JF101649,"01-02-2022 20:00","061XX S COTTAGE GROVE AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,313,3,20,42,6,1182620,1864479,2022,"11-12-2022 15:46",41.78334076,-87.60599371,"(41.783340761, -87.605993706)"
12586268,JF105432,"01-02-2022 22:00","083XX S RHODES AVE",810,THEFT,"OVER $500",APARTMENT,FALSE,FALSE,632,6,6,44,6,1181250,1849779,2022,"11-12-2022 15:46",41.74303413,-87.61146882,"(41.743034131, -87.61146882)"
12583403,JF101858,"01-02-2022 22:00","035XX W WOLFRAM ST",810,THEFT,"OVER $500",STREET,FALSE,FALSE,1412,14,35,21,6,1152539,1918728,2022,"11-12-2022 15:46",41.93285165,-87.71484865,"(41.932851646, -87.714848648)"
